ikea_id,category_name,products_count,issue,duplicates_count,has_series_prefix,extra_value
700428,Столешницы из шпона под заказ,18,missing_f_series_filter,,,
40693,Душевые кабины и души,3,dirty_or_duplicates_in_values,0,true,2
40693,Душевые кабины и души,3,missing_indexed_products,,,1
28433,Континентальные кровати,19,missing_f_series_filter,,,
41069,Беспроводные зарядные устройства,5,dirty_or_duplicates_in_values,0,true,1
41069,Беспроводные зарядные устройства,5,missing_indexed_products,,,4
20619,Миски,27,dirty_or_duplicates_in_values,0,true,9
20619,Миски,27,missing_indexed_products,,,15
18751,Подвесные светильники,67,dirty_or_duplicates_in_values,0,true,5
18751,Подвесные светильники,67,missing_indexed_products,,,61
10810,Тумбы под телевизор,35,dirty_or_duplicates_in_values,0,true,17
10810,Тумбы под телевизор,35,missing_indexed_products,,,8
24711,Органайзеры для учебы,7,missing_f_series_filter,,,
16295,Сумки и тележки для покупок,13,dirty_or_duplicates_in_values,0,true,2
16295,Сумки и тележки для покупок,13,missing_indexed_products,,,11
700493,Тумбы с раковиной ENHET,2,missing_f_series_filter,,,
34204,Ковры для балкона и террасы,9,missing_f_series_filter,,,
20676,Настенное хранение на кухне,86,missing_f_series_filter,,,
700171,Лотки для столовых приборов,13,missing_f_series_filter,,,
45815,Детские обеденные стулья,7,missing_f_series_filter,,,
18768,Детские столы,12,missing_f_series_filter,,,
700418,Фасады для кухни белые VALLSTENA,28,missing_f_series_filter,,,
700390,Фасады ENKÖPING,33,missing_f_series_filter,,,
700395,Фасады AXSTAD,0,missing_f_series_filter,,,
700368,Фасады STENSUND,32,missing_f_series_filter,,,
700777,Фасады TERRSJÖ с акцентом,2,missing_f_series_filter,,,
700359,Фасады VOXTORP,141,missing_f_series_filter,,,
46475,Фартуки из кварца,0,missing_f_series_filter,,,
36812,Системы умного освещения,54,dirty_or_duplicates_in_values,0,true,2
36812,Системы умного освещения,54,missing_indexed_products,,,51
24261,Кухонные краны и мойки,35,missing_f_series_filter,,,
14319,Все товары OMAR,4,missing_f_series_filter,,,
20542,Подушки на кресла,18,dirty_or_duplicates_in_values,0,true,1
20542,Подушки на кресла,18,missing_indexed_products,,,17
50382,Аксессуары для кухни METOD,97,dirty_or_duplicates_in_values,0,true,11
50382,Аксессуары для кухни METOD,97,missing_indexed_products,,,73
46477,Керамические фартуки,0,missing_f_series_filter,,,
