root=bm001 (Кровати и матрасы)
tree_size=16
suspect_count=486

id=11264 | sku=50282177 | primary=20660 (Полки навесные без ножки) | linked_to_bm001=true | linked_outside_tree=10398(Полки настенные),st001(Мебель для хранения),st002(Книжные шкафы и стеллажи),20656(Прикроватные тумбы и шкафы),20660(Полки навесные без ножки),55014(Полки со скрытым креплением),st006(Крючки, полки и настенные органайзеры)
id=11334 | sku=20476520 | primary=10409 (Духовые шкафы) | linked_to_bm001=true | linked_outside_tree=10409(Духовые шкафы),20656(Прикроватные тумбы и шкафы),st001(Мебель для хранения),st003(Шкафы-витрины)
id=11342 | sku=70328669 | primary=10409 (Духовые шкафы) | linked_to_bm001=true | linked_outside_tree=10409(Духовые шкафы),20656(Прикроватные тумбы и шкафы),st001(Мебель для хранения),st003(Шкафы-витрины),st004(Комоды и тумбы)
id=11459 | sku=80214549 | primary=10451 (Комоды для спальни) | linked_to_bm001=true | linked_outside_tree=10451(Комоды для спальни),20656(Прикроватные тумбы и шкафы),st001(Мебель для хранения),st004(Комоды и тумбы)
id=11470 | sku=80309241 | primary=10451 (Комоды для спальни) | linked_to_bm001=true | linked_outside_tree=10451(Комоды для спальни),20656(Прикроватные тумбы и шкафы),st001(Мебель для хранения),st004(Комоды и тумбы)
id=11489 | sku=50395382 | primary=10565 (Коробки для обуви и одежды) | linked_to_bm001=true | linked_outside_tree=10452(Аксессуары для хранения одежды),10550(Ящики и корзины для хранения),10565(Коробки для обуви и одежды),10797(Ящики, контейнеры и корзины для хранения),700440(Система хранения для гаража),de001(Декор),hi001(Товары для ремонта и улучшения дома),st001(Мебель для хранения),st007(Товары для хранения вещей)
id=11505 | sku=10591059 | primary=10565 (Коробки для обуви и одежды) | linked_to_bm001=true | linked_outside_tree=10452(Аксессуары для хранения одежды),10565(Коробки для обуви и одежды),de001(Декор),st007(Товары для хранения вещей)
id=11506 | sku=20591049 | primary=10565 (Коробки для обуви и одежды) | linked_to_bm001=true | linked_outside_tree=10452(Аксессуары для хранения одежды),10565(Коробки для обуви и одежды),de001(Декор),st007(Товары для хранения вещей)
id=11523 | sku=50309577 | primary=10565 (Коробки для обуви и одежды) | linked_to_bm001=true | linked_outside_tree=10452(Аксессуары для хранения одежды),10565(Коробки для обуви и одежды),10797(Ящики, контейнеры и корзины для хранения),20479(Контейнеры, ящики и корзины для игрушек),bc001(Товары для детей и новорожденных),de001(Декор),st001(Мебель для хранения),st007(Товары для хранения вещей)
id=11526 | sku=00612255 | primary=10565 (Коробки для обуви и одежды) | linked_to_bm001=true | linked_outside_tree=10452(Аксессуары для хранения одежды),10565(Коробки для обуви и одежды),10797(Ящики, контейнеры и корзины для хранения),de001(Декор),st001(Мебель для хранения),st007(Товары для хранения вещей)
id=11936 | sku=00130129 | primary=10797 (Ящики, контейнеры и корзины для хранения) | linked_to_bm001=true | linked_outside_tree=10565(Коробки для обуви и одежды),10797(Ящики, контейнеры и корзины для хранения),de001(Декор),st001(Мебель для хранения),st007(Товары для хранения вещей),10550(Ящики и корзины для хранения)
id=12003 | sku=10549490 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12010 | sku=30564583 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12012 | sku=00579798 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12013 | sku=60504366 | primary=bc001 (Товары для детей и новорожденных) | linked_to_bm001=true | linked_outside_tree=bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12014 | sku=10591182 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
